Name,Author,UR,CR,AR,Year
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,1,2.9,2018
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,1,2.9,2019
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,1,2.9,2015
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,1,2.9,2016
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,1,2.9,2017
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,1,2.9,2018
The Book with No Pictures,B. J. Novak,4.8,1,2.9,2014
The Day the Crayons Quit,Drew Daywalt,4.8,1,2.9,2013
The Going-To-Bed Book,Sandra Boynton,4.8,1,2.9,2017
The Hate U Give,Angie Thomas,4.8,1,2.9,2018
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,1,2.9,2010
The Love Dare,Stephen Kendrick,4.8,1,2.9,2009
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,1,2.9,2013
To Kill a Mockingbird,Harper Lee,4.8,1,2.9,2013
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,1,2.9,2019
When Breath Becomes Air,Paul Kalanithi,4.8,1,2.9,2016
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,4,4.35,2017
Catching Fire (The Hunger Games),Suzanne Collins,4.7,4,4.35,2011
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4,4.35,2016
Doctor Sleep: A Novel,Stephen King,4.7,4,4.35,2013
Educated: A Memoir,Tara Westover,4.7,4,4.35,2019
First 100 Words,Roger Priddy,4.7,4,4.35,2014
First 100 Words,Roger Priddy,4.7,4,4.35,2015
First 100 Words,Roger Priddy,4.7,4,4.35,2017
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,4,4.35,2011
Milk and Honey,Rupi Kaur,4.7,4,4.35,2018
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,4,4.35,2016
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,4,4.35,2010
The Alchemist,Paulo Coelho,4.7,4,4.35,2014
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,4,4.35,2010
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,4,4.35,2009
The Fault in Our Stars,John Green,4.7,4,4.35,2012
The Fault in Our Stars,John Green,4.7,4,4.35,2014
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,4,4.35,2009
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,4,4.35,2009
The Hunger Games (Book 1),Suzanne Collins,4.7,4,4.35,2011
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,4,4.35,2012
The Wright Brothers,David McCullough,4.7,4,4.35,2015
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,4,4.35,2015
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,4,4.35,2016
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,4,4.35,2018
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,4,4.35,2019
Between the World and Me,Ta-Nehisi Coates,4.7,3,3.85,2015
Between the World and Me,Ta-Nehisi Coates,4.7,3,3.85,2016
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,3,3.85,2010
Eclipse (Twilight),Stephenie Meyer,4.7,3,3.85,2009
Educated: A Memoir,Tara Westover,4.7,3,3.85,2018
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,3,3.85,2016
First 100 Words,Roger Priddy,4.7,3,3.85,2016
Harry Potter Coloring Book,Scholastic,4.7,3,3.85,2015
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,3,3.85,2012
How to Win Friends & Influence People,Dale Carnegie,4.7,3,3.85,2014
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,3,3.85,2013
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,3,3.85,2017
Milk and Honey,Rupi Kaur,4.7,3,3.85,2016
Milk and Honey,Rupi Kaur,4.7,3,3.85,2017
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,3,3.85,2010
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,3,3.85,2010
The Fault in Our Stars,John Green,4.7,3,3.85,2014
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,3,3.85,2015
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,3,3.85,2017
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,3,3.85,2019
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,3,3.85,2011
The Hunger Games (Book 1),Suzanne Collins,4.7,3,3.85,2012
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,3,3.85,2010
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,3,3.85,2012
The Last Lecture,Randy Pausch,4.7,3,3.85,2009
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,3,3.85,2019
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,3,3.85,2019
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,2,3.35,2014
A Gentleman in Moscow: A Novel,Amor Towles,4.7,2,3.35,2017
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,2,3.35,2018
Born to Run,Bruce Springsteen,4.7,2,3.35,2016
How to Win Friends & Influence People,Dale Carnegie,4.7,2,3.35,2015
How to Win Friends & Influence People,Dale Carnegie,4.7,2,3.35,2016
How to Win Friends & Influence People,Dale Carnegie,4.7,2,3.35,2017
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,2,3.35,2012
Night (Night),Elie Wiesel,4.7,2,3.35,2016
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,2,3.35,2018
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,2,3.35,2019
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,2,3.35,2011
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,2,3.35,2015
Sh*t My Dad Says,Justin Halpern,4.7,2,3.35,2010
Sookie Stackhouse,Charlaine Harris,4.7,2,3.35,2009
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,2,3.35,2014
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,2,3.35,2015
The Fault in Our Stars,John Green,4.7,2,3.35,2013
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,2,3.35,2010
The Sun and Her Flowers,Rupi Kaur,4.7,2,3.35,2017
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,2,3.35,2011
The Twilight Saga Collection,Stephenie Meyer,4.7,2,3.35,2009
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,2,3.35,2014
10-Day Green Smoothie Cleanse,JJ Smith,4.7,1,2.85,2016
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,1,2.85,2018
1984 (Signet Classics),George Orwell,4.7,1,2.85,2017
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,1,2.85,2010
Catching Fire (The Hunger Games),Suzanne Collins,4.7,1,2.85,2010
Catching Fire (The Hunger Games),Suzanne Collins,4.7,1,2.85,2012
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1,2.85,2009
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1,2.85,2011
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,1,2.85,2009
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,1,2.85,2015
First 100 Words,Roger Priddy,4.7,1,2.85,2018
Frozen (Little Golden Book),RH Disney,4.7,1,2.85,2014
How to Win Friends & Influence People,Dale Carnegie,4.7,1,2.85,2018
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,1,2.85,2011
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,1,2.85,2011
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,1,2.85,2012
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,1,2.85,2013
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,1,2.85,2016
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,1,2.85,2017
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,1,2.85,2011
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,1,2.85,2011
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,1,2.85,2013
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,1,2.85,2016
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,1,2.85,2018
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,1,2.85,2010
The Hunger Games,Suzanne Collins,4.7,1,2.85,2010
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,1,2.85,2011
The Martian,Andy Weir,4.7,1,2.85,2015
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,1,2.85,2013
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,1,2.85,2009
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,1,2.85,2016
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,1,2.85,2017
A Man Called Ove: A Novel,Fredrik Backman,4.6,4,4.3,2016
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4,4.3,2011
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,4,4.3,2009
Cutting for Stone,Abraham Verghese,4.6,4,4.3,2011
Decision Points,George W. Bush,4.6,4,4.3,2010
Divergent,Veronica Roth,4.6,4,4.3,2013
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,4,4.3,2009
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,4,4.3,2011
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,4,4.3,2012
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4,4.3,2013
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,4,4.3,2018
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,4,4.3,2009
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,4,4.3,2019
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,4,4.3,2017
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,4,4.3,2014
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,4,4.3,2017
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,4,4.3,2011
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,4,4.3,2012
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,4,4.3,2013
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,4,4.3,2009
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,4,4.3,2013
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,4,4.3,2012
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,4,4.3,2009
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,4,4.3,2010
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,4,4.3,2017
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,4,4.3,2018
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,3,3.8,2009
